 Dados Cadastrais ,,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
 Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação de Mercado , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,EBITDA_2015,EBITDA_2016,EBITDA_2017,EBITDA_2018,EBITDA_2019,EBITDA_2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
 Petrobras , ON , PETR3 ," R$461,751,465 ",5.1%,6.4%,Mega Cap, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,3.20,31.4%,2.10,1.10,0.90,36.58, R$7.80 , R$11.50 ,21.3%,68%," R$434,194,000 "," R$277,418,000 "," R$81,601,000 "," R$195,817,000 ",0.64,0.62, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$306,347,000 ",65%," R$215,880,000 ",2%,6%,47%,19%,15%,1.56,31/03/2022," R$4,029,229 "," 197,072 ", Liquidez Alta 
 Petrobras , PN , PETR4 ," R$461,751,465 ",7.9%,7.3%,Mega Cap, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,2.90,34.0%,2.10,1.00,0.90,33.83, R$7.80 , R$11.50 ,23.1%,68%," R$434,194,000 "," R$277,418,000 "," R$81,601,000 "," R$195,817,000 ",0.64,0.62, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$306,347,000 ",65%," R$215,880,000 ",2%,6%,47%,19%,15%,1.47,31/03/2022," R$16,645,529 "," 700,591 ", Liquidez Alta 
 Vale , ON , VALE3 ," R$369,274,434 ",15.2%,17.8%,Mega Cap, Dividendos , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,3.40,29.3%,2.60,2.10,1.40,77.90, R$14.09 , R$22.86 ,18.1%,62%," R$178,314,000 "," R$66,403,000 "," R$42,931,000 "," R$23,472,000 ",0.37,0.15, Baixo Endividamento ,"-R$14,848,128 "," R$37,179,596 "," R$46,376,036 "," R$55,414,679 "," R$16,990,508 "," R$152,497,176 ",-259%," R$112,231,426 ",20%,140%,57%,27%,26%,0.63,31/03/2022," R$12,056,737 "," 416,259 ", Liquidez Alta 
 Ambev S/A , ON , ABEV3 ," R$227,985,949 ",3.1%,2.9%,Mega Cap, Dividendos , Tradicional , Consumo não cíclico , Bebidas , Cervejas e refrigerantes ,16.90,5.9%,9.60,2.90,3.10,14.48, R$0.60 , R$0.86 ,4.2%,71%," R$78,923,098 "," R$2,986,344 "," R$12,887,922 ","-R$9,901,578 ",0.04,-0.50, Empresa com Mais Caixa que Dívida ," R$21,856,212 "," R$20,612,380 "," R$20,035,781 "," R$21,013,511 "," R$20,727,800 "," R$22,611,264 ",1%," R$20,583,849 ",33%,126%,17%,14%,11%,0.68,31/03/2022," R$1,685,110 "," 142,605 ", Liquidez Alta 
 ItauUnibanco , ON , ITUB3 ," R$222,263,469 ",-,-,Mega Cap, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,7.80,12.9%,-,1.40,-,20.91, R$0.63 , R$2.69 ,3.0%,23%," R$144,393,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$119,630,000 ",-,N/D,18%,,1%,0.79,31/03/2022," R$77,733 "," 11,199 ", Liquidez Alta 
 ItauUnibanco , PN , ITUB4 ," R$222,263,469 ",5.9%,5.5%,Mega Cap, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,9.10,11.0%,-,1.70,-,24.49, R$0.63 , R$2.69 ,2.6%,23%," R$144,393,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$119,630,000 ",-,N/D,18%,,1%,0.95,31/03/2022," R$6,260,350 "," 377,463 ", Liquidez Alta 
 Bradesco , ON , BBDC3 ," R$183,453,377 ",1.2%,1.1%,Mega Cap, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,7.20,13.8%,-,1.10,-,15.44, R$0.83 , R$2.14 ,5.4%,39%," R$151,098,626 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$51,114,977 ",-,N/D,16%,,1%,1.09,31/03/2022," R$875,006 "," 94,062 ", Liquidez Alta 
 Bradesco , PN , BBDC4 ," R$183,453,377 ",5.0%,4.6%,Mega Cap, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,8.90,11.3%,-,1.30,-,18.99, R$0.91 , R$2.14 ,4.8%,43%," R$151,098,626 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$51,114,977 ",-,N/D,16%,,1%,1.10,31/03/2022," R$4,918,013 "," 300,282 ", Liquidez Alta 
 Btgp Banco , ON , BPAC3 ," R$124,422,175 ",-,-,Mega Cap, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,20.70,4.8%,-,4.00,-,13.68, R$0.13 , R$0.66 ,0.9%,19%," R$39,299,530 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$754,116 ",-,N/D,24%,,2%,1.61,31/03/2022, R$547 , 291 , Liquidez Baixa 
 Btgp Banco , PNA , BPAC5 ," R$124,422,175 ",-,-,Mega Cap, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,7.60,13.2%,-,1.50,-,5.00, R$0.13 , R$0.66 ,2.6%,19%," R$39,299,530 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$754,116 ",-,N/D,24%,,2%,1.51,31/03/2022, R$391 , 310 , Liquidez Baixa 
