Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
Petrobras , ON , PETR3 ," R$462,781,200 ",4.9%,6.3%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,3.00,33.3%,1.80,1.20,0.90,37.17, R$16.64 , R$12.38 ,44.8%,134%," R$410,545,000 "," R$280,637,000 "," R$85,311,000 "," R$195,326,000 ",0.68,0.51, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$352,668,000 ",69%," R$231,120,000 ",-1%,-3%,45%,24%,16%,1.57,30/06/2022," R$4,137,799 "," 151,082 ", Liquidez Alta 
Petrobras , PN , PETR4 ," R$462,781,200 ",7.5%,7.0%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,2.70,37.3%,1.80,1.10,0.80,33.23, R$16.64 , R$12.38 ,50.1%,134%," R$410,545,000 "," R$280,637,000 "," R$85,311,000 "," R$195,326,000 ",0.68,0.51, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$352,668,000 ",69%," R$231,120,000 ",-1%,-3%,45%,24%,16%,1.48,30/06/2022," R$14,907,785 "," 570,050 ", Liquidez Alta 
Vale, ON , VALE3 ," R$296,136,400 ",12.3%,14.5%, Dividendos , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,3.00,33.0%,2.70,1.60,1.30,64.50, R$15.49 , R$21.25 ,24.0%,73%," R$185,951,000 "," R$66,042,000 "," R$37,633,000 "," R$28,409,000 ",0.36,0.23, Baixo Endividamento ,"-R$14,848,128 "," R$37,179,596 "," R$46,376,036 "," R$55,414,679 "," R$16,990,508 "," R$123,868,439 ",-253%," R$89,168,557 ",12%,70%,49%,21%,24%,0.61,30/06/2022," R$9,537,618 "," 317,869 ", Liquidez Alta 
Ambev S/A , ON , ABEV3 ," R$240,374,446 ",3.4%,3.2%, Dividendos , Tradicional , Consumo não cíclico , Bebidas , Cervejas e refrigerantes ,17.70,5.6%,10.00,2.80,3.10,15.27, R$0.60 , R$0.86 ,4.0%,70%," R$86,263,126 "," R$3,196,042 "," R$14,129,259 ","-R$10,933,217 ",0.04,-0.54, Empresa com Mais Caixa que Dívida ," R$21,856,212 "," R$20,612,380 "," R$20,035,781 "," R$21,013,511 "," R$20,727,800 "," R$22,920,432 ",1%," R$20,945,606 ",33%,123%,18%,13%,10%,0.67,30/06/2022," R$1,101,819 "," 111,796 ", Liquidez Alta 
ItauUnibanco , ON , ITUB3 ," R$234,763,298 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,8.30,12.1%,-,1.40,-,22.14, R$0.79 , R$2.68 ,3.6%,30%," R$150,639,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$151,452,000 ",-,N/D,19%,,1%,0.84,30/06/2022," R$42,966 "," 6,051 ", Liquidez Alta 
ItauUnibanco , PN , ITUB4 ," R$234,763,298 ",6.4%,6.0%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,9.60,10.4%,-,1.70,-,25.81, R$0.79 , R$2.68 ,3.1%,30%," R$150,639,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$151,452,000 ",-,N/D,19%,,1%,0.98,30/06/2022," R$4,012,612 "," 199,299 ", Liquidez Alta 
Bradesco , ON , BBDC3 ," R$185,429,143 ",1.2%,1.2%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,7.10,14.2%,-,1.10,-,15.84, R$0.57 , R$2.24 ,3.6%,25%," R$152,703,805 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$33,965,199 ",-,N/D,16%,,1%,1.11,30/06/2022," R$492,284 "," 37,599 ", Liquidez Alta 
Bradesco , PN , BBDC4 ," R$185,429,143 ",5.1%,4.7%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,8.50,11.8%,-,1.30,-,18.96, R$0.63 , R$2.24 ,3.3%,28%," R$152,703,805 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$33,965,199 ",-,N/D,16%,,1%,1.14,30/06/2022," R$2,922,208 "," 149,838 ", Liquidez Alta 
Btgp Banco , ON , BPAC3 ," R$129,779,697 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,20.10,5.0%,-,3.90,-,13.91, R$0.18 , R$0.69 ,1.3%,25%," R$41,358,738 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$4,370,741 ",-,N/D,21%,,2%,1.64,30/06/2022, R$440 , 260 , Liquidez Baixa 
Btgp Banco , PNA , BPAC5 ," R$129,779,697 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,8.60,11.6%,-,1.70,-,5.99, R$0.18 , R$0.69 ,2.9%,25%," R$41,358,738 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$4,370,741 ",-,N/D,21%,,2%,1.47,30/06/2022, R$395 , 273 , Liquidez Baixa 
Btgp Banco , UNT , BPAC11 ," R$129,779,697 ",1.7%,1.6%, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,12.20,8.2%,-,2.40,-,25.45, R$0.18 , R$0.69 ,2.1%,25%," R$41,358,738 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$4,370,741 ",-,N/D,21%,,2%,1.73,30/06/2022," R$1,046,580 "," 112,787 ", Liquidez Alta 
Brasil , ON , BBAS3 ," R$118,968,096 ",3.0%,2.8%, Crescimento , Novo Mercado , Financeiro , Intermediários financeiros , Bancos ,4.90,20.4%,-,0.80,-,41.69, R$3.49 , R$8.50 ,8.4%,41%," R$152,675,285 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$96,533,414 ",-,N/D,18%,,1%,1.17,30/06/2022," R$3,241,788 "," 183,978 ", Liquidez Alta 
