Dados Cadastrais ,,,,,,,,,,,,, Múltiplos ,,, Proventos ,, Estrutura de Capital ,,,,, Liquidez das Cotas ,,
Nome , CNPJ , Código de Neg. , Participação no IFIX , Segmento de Listagem , Presença em Pregões , Valor de Mercado , Segmento de Atuação , Mandato , Taxa de Administração , Taxa de Performance , Regulamento do Fundo , Data de Início , P/VPA , VPA , Cotação , Provento por Cota , Dividend Yield , Patrimônio , Ativo Total , Passivo Total , Alavancagem , Data do Balanço Mais Recente , Volume Médio Diário (12 Meses) , Volume Médio Diário (Mês) , Análise 
Kinea Indices de Precos Fundo -Unica ,24960430000113, KNIP11 ,6.91%, Tradicional ,100%," R$7,219,048 ", TVM , FII TVM Gestão Ativa ,1.0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=38771 ,16/09/2016,0.96, R$93.78 ,90.15, R$11.87 ,1197.0%," R$7,509,519 "," R$8,155,913 "," R$646,394 ",7.93%,31/01/2023," R$10,431 "," 7,716 ", Liquidez Alta 
Kinea Rendimentos Imobiliarios-U ,16706958000132, KNCR11 ,5.35%, Tradicional ,100%," R$5,618,924 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=95632 ,23/10/2012,0.98, R$100.74 , R$98.41 , R$13.35 ,13.4%," R$5,752,157 "," R$6,228,809 "," R$476,653 ",7.65%,31/01/2023," R$9,624 "," 9,815 ", Liquidez Alta 
Kinea Renda Imobiliaria Fundo -Unica ,12005956000165, KNRI11 ,3.13%, Tradicional ,100%," R$3,277,155 ", TVM , FII Desenv. para Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=12753 ,11/08/2010,0.85, R$159.89 , R$135.66 , R$10.74 ,8.1%," R$3,862,362 "," R$4,230,536 "," R$368,174 ",8.70%,31/01/2023," R$3,203 "," 2,907 ", Liquidez Alta 
CSHG Logistica FII - FII-Unica ,11728688000147, HGLG11 ,3.57%, Tradicional ,100%," R$3,752,130 ", Logistica , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=311009 ,30/04/2010,1.04, R$153.22 , R$159.96 , R$16.50 ,10.1%," R$3,593,947 "," R$4,070,501 "," R$476,554 ",11.71%,31/01/2023," R$5,379 "," 5,006 ", Liquidez Alta 
Iridium Recebiveis Imobiliario-Unica ,28830325000110, IRDM11 ,3.12%, Tradicional ,100%," R$3,287,060 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=67628 ,06/03/2018,0.98, R$92.33 , R$90.22 , R$13.08 ,12.1%," R$3,364,084 "," R$3,403,074 "," R$38,990 ",1.15%,31/01/2023," R$7,286 "," 5,114 ", Liquidez Alta 
FII Xp Log ,26502794000185, XPLG11 ,2.38%, Tradicional ,100%," R$2,464,841 ", Logistica , FII Desenv. para Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=54630 ,28/05/2018,0.80, R$114.32 , R$90.95 , R$8.58 ,8.8%," R$3,098,183 "," R$3,314,314 "," R$216,132 ",6.52%,31/01/2023," R$4,419 "," 3,391 ", Liquidez Alta 
Capitania Securities II FII-Classe A ,18979895000113, CPTS11 ,2.37%, Tradicional ,100%," R$2,510,842 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=97012 ,07/08/2014,0.90, R$87.82 , R$79.00 , R$11.30 ,11.8%," R$2,791,085 "," R$3,148,363 "," R$357,278 ",11.35%,31/01/2023," R$6,953 "," 5,314 ", Liquidez Alta 
Hectare Ce FII-Unica ,30248180000196, HCTR11 ,1.83%, Tradicional ,100%," R$1,863,907 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=318108 ,02/10/2018,0.70, R$120.55 , R$84.40 , R$15.57 ,12.7%," R$2,662,284 "," R$2,664,275 "," R$1,991 ",0.07%,31/01/2023," R$7,717 "," 7,033 ", Liquidez Alta 
BTG Pactual Corporate Office Fund FII ,8924783000101, BRCR11 ,1.39%, Tradicional ,100%," R$1,486,145 ", Híbrido , FII Hibrido Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=171920 ,21/06/2007,0.56, R$99.62 , R$55.79 , R$5.76 ,8.4%," R$2,653,593 "," R$3,311,785 "," R$658,192 ",19.87%,31/01/2023," R$1,917 "," 1,332 ", Liquidez Alta 
FII FII Rec Recebiveis Imobili-Unica ,28152272000126, RECR11 ,2.14%, Tradicional ,100%," R$2,242,252 ", TVM , FII TVM Gestão Ativa ,0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=113045 ,16/10/2017,0.89, R$95.33 , R$84.80 , R$12.45 ,12.4%," R$2,520,798 "," R$2,549,671 "," R$28,874 ",1.13%,31/01/2023," R$5,134 "," 3,912 ", Liquidez Alta 
