Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
Vale , ON , VALE3 ," R$386,217,171 ",16.6%,20.3%, Crescimento , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,4.20,23.8%,4.10,2.10,1.80,86.15, R$7.58 , R$20.51 ,8.8%,37%," R$187,112,000 "," R$66,330,000 "," R$24,711,000 "," R$41,619,000 ",0.35,0.39, Baixo Endividamento ,"-R$14,848,128 "," R$37,179,596 "," R$46,376,036 "," R$55,414,679 "," R$16,990,508 "," R$106,712,000 ",-248%," R$58,201,000 ",48%,172%,49%,17%,21%,0.92,31/12/2022," R$10,631,676 "," 335,993 ", Liquidez Alta 
Petrobras , ON , PETR3 ," R$364,303,163 ",5.5%,5.4%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,2.00,49.1%,1.60,1.10,0.60,29.41, R$16.74 , R$14.44 ,56.9%,116%," R$362,594,000 "," R$280,703,000 "," R$41,723,000 "," R$238,980,000 ",0.77,0.62, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$362,457,000 ",70%," R$255,410,000 ",10%,37%,49%,24%,19%,1.21,31/12/2022," R$2,783,834 "," 161,912 ", Liquidez Alta 
Petrobras , PN , PETR4 ," R$364,303,163 ",6.4%,5.9%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,1.80,55.6%,1.60,0.90,0.50,25.96, R$16.74 , R$14.44 ,64.5%,116%," R$362,594,000 "," R$280,703,000 "," R$41,723,000 "," R$238,980,000 ",0.77,0.62, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$362,457,000 ",70%," R$255,410,000 ",10%,37%,49%,24%,19%,1.18,31/12/2022," R$12,690,469 "," 652,029 ", Liquidez Alta 
ItauUnibanco , ON , ITUB3 ," R$224,522,101 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,7.00,14.2%,-,1.30,-,21.10, R$1.00 , R$3.00 ,4.8%,34%," R$160,925,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$114,727,000 ",-,N/D,19%,,1%,0.96,31/12/2022," R$84,866 "," 9,662 ", Liquidez Alta 
ItauUnibanco , PN , ITUB4 ," R$224,522,101 ",6.4%,5.8%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,8.20,12.1%,-,1.50,-,24.76, R$1.00 , R$3.00 ,4.1%,34%," R$160,925,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$114,727,000 ",-,N/D,19%,,1%,1.08,31/12/2022," R$4,268,023 "," 326,973 ", Liquidez Alta 
Ambev S/A , ON , ABEV3 ," R$212,513,423 ",3.1%,2.9%, Dividendos , Tradicional , Consumo não cíclico , Bebidas , Cervejas e refrigerantes ,14.70,6.8%,8.60,2.60,2.70,13.50, R$0.76 , R$0.92 ,5.7%,83%," R$81,955,633 "," R$3,770,706 "," R$14,926,435 ","-R$11,155,729 ",0.05,-0.49, Empresa com Mais Caixa que Dívida ," R$21,856,212 "," R$20,612,380 "," R$20,035,781 "," R$21,013,511 "," R$20,727,800 "," R$23,615,090 ",2%," R$20,642,153 ",31%,108%,18%,14%,11%,0.64,31/12/2022," R$2,230,236 "," 184,178 ", Liquidez Alta 
Weg , ON , WEGE3 ," R$165,448,887 ",2.8%,2.9%, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Motores compressores e outros ,39.30,2.5%,29.30,11.20,5.50,39.43, R$0.54 , R$1.00 ,1.4%,54%," R$14,834,795 "," R$3,459,692 "," R$4,451,002 ","-R$991,310 ",0.23,-0.27, Empresa com Mais Caixa que Dívida ," R$1,477,603 "," R$1,406,931 "," R$1,466,287 "," R$1,824,054 "," R$2,244,517 "," R$5,617,144 ",31%," R$2,982,930 ",39%,204%,31%,22%,15%,0.51,31/12/2022," R$1,196,521 "," 102,139 ", Liquidez Alta 
Bradesco , ON , BBDC3 ," R$133,065,864 ",0.9%,0.9%, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.00,16.6%,-,0.80,-,11.72, R$0.91 , R$1.95 ,7.8%,47%," R$154,263,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-, - ,-,N/D,14%,,1%,1.16,31/12/2022," R$493,196 "," 51,194 ", Liquidez Alta 
Bradesco , PN , BBDC4 ," R$133,065,864 ",3.6%,3.3%, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.80,14.6%,-,0.90,-,13.29, R$1.01 , R$1.95 ,7.6%,52%," R$154,263,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-, - ,-,N/D,14%,,1%,1.21,31/12/2022," R$2,401,611 "," 227,998 ", Liquidez Alta 
Brasil , ON , BBAS3 ," R$110,464,260 ",2.9%,2.7%, Crescimento , Novo Mercado , Financeiro , Intermediários financeiros , Bancos ,3.60,28.1%,-,0.70,-,38.71, R$4.17 , R$10.87 ,10.8%,38%," R$160,278,681 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$64,694,673 ",-,N/D,23%,,2%,0.87,31/12/2022," R$3,430,239 "," 236,224 ", Liquidez Alta 
Santander BR , ON , SANB3 ," R$101,216,642 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.50,13.4%,-,1.10,-,12.63, R$0.87 , R$1.69 ,6.9%,52%," R$82,061,914 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$999,698 ",-,N/D,16%,,1%,1.06,31/12/2022," R$13,180 "," 8,020 ", Liquidez Alta 
Santander BR , PN , SANB4 ," R$101,216,642 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,8.70,11.5%,-,1.30,-,14.63, R$0.96 , R$1.69 ,6.6%,57%," R$82,061,914 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$999,698 ",-,N/D,16%,,1%,0.89,31/12/2022," R$16,428 "," 7,786 ", Liquidez Alta 
Santander BR , UNT , SANB11 ," R$101,216,642 ",0.5%,0.5%, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,8.00,12.5%,-,1.20,-,27.03, R$0.91 , R$1.69 ,6.8%,54%," R$82,061,914 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$999,698 ",-,N/D,16%,,1%,0.98,31/12/2022," R$301,016 "," 46,611 ", Liquidez Alta 
Btgp Banco , PNA , BPAC5 ," R$97,338,765 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,7.30,13.7%,-,1.30,-,4.96, R$0.22 , R$0.68 ,4.4%,32%," R$42,371,767 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$21,901,441 ",-,N/D,20%,,2%,0.92,31/12/2022, R$262 , 198 , Liquidez Baixa 
Btgp Banco , UNT , BPAC11 ," R$97,338,765 ",1.3%,1.2%, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,9.60,10.4%,-,1.80,-,19.59, R$0.22 , R$0.68 ,3.4%,32%," R$42,371,767 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$21,901,441 ",-,N/D,20%,,2%,1.48,31/12/2022," R$1,576,550 "," 150,407 ", Liquidez Alta 
Itausa , ON , ITSA3 ," R$79,730,273 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,5.60,17.9%,5.80,1.10,9.20,8.33, R$0.48 , R$1.49 ,5.8%,33%," R$70,827,000 "," R$13,963,000 "," R$4,538,000 "," R$9,425,000 ",0.20,0.47, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$15,720,000 ",10%," R$441,000 ",393%,215%,23%,12%,16%,0.82,30/09/2022," R$5,290 "," 2,182 ", Liquidez Moderada 
Itausa , PN , ITSA4 ," R$79,730,273 ",2.3%,2.1%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,5.50,18.3%,5.80,1.10,9.00,8.16, R$0.48 , R$1.49 ,5.9%,33%," R$70,827,000 "," R$13,963,000 "," R$4,538,000 "," R$9,425,000 ",0.20,0.47, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$15,720,000 ",10%," R$441,000 ",393%,215%,23%,12%,16%,1.04,30/09/2022," R$919,054 "," 134,039 ", Liquidez Alta 
Eletrobras , ON , ELET3 ," R$76,443,488 ",3.4%,3.3%," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,12.60,8.0%,9.40,0.70,1.60,33.00, R$0.74 , R$2.62 ,2.2%,28%," R$111,495,023 "," R$55,270,110 "," R$6,760,927 "," R$48,509,183 ",0.50,3.00, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$11,958,762 ",-202%," R$11,241,428 ",297%,1093%,6%,3%,2%,0.75,30/09/2022," R$1,654,298 "," 138,789 ", Liquidez Alta 
Eletrobras , PNB , ELET6 ," R$76,443,488 ",0.5%,0.5%, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,13.30,7.5%,9.40,0.70,1.70,34.78, R$1.54 , R$2.62 ,4.4%,59%," R$111,495,023 "," R$55,270,110 "," R$6,760,927 "," R$48,509,183 ",0.50,3.00, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$11,958,762 ",-202%," R$11,241,428 ",297%,1093%,6%,3%,2%,0.74,30/09/2022," R$401,858 "," 40,794 ", Liquidez Alta 
