, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
, Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
13.00, Petrobras , ON , PETR3 ," R$472,513,202 ",4.6%,6.1%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,3.00,32.8%,1.90,1.20,0.90,37.74, R$16.64 , R$12.38 ,44.1%,134%," R$410,545,000 "," R$280,637,000 "," R$85,311,000 "," R$195,326,000 ",0.68,0.51, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$352,668,000 ",69%," R$231,120,000 ",-1%,-3%,45%,24%,16%,1.57,30/06/2022," R$3,312,591 "," 114,963 ", Liquidez Alta 
14.00, Petrobras , PN , PETR4 ," R$472,513,202 ",7.1%,6.8%, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,2.80,36.2%,1.90,1.10,0.80,34.21, R$16.64 , R$12.38 ,48.6%,134%," R$410,545,000 "," R$280,637,000 "," R$85,311,000 "," R$195,326,000 ",0.68,0.51, Baixo Endividamento ," R$25,386,000 "," R$65,025,000 "," R$80,251,000 "," R$108,522,000 "," R$140,203,000 "," R$352,668,000 ",69%," R$231,120,000 ",-1%,-3%,45%,24%,16%,1.48,30/06/2022," R$11,247,463 "," 398,807 ", Liquidez Alta 
15.00, Vale , ON , VALE3 ," R$330,387,214 ",15.0%,14.4%, Crescimento , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,3.40,29.5%,3.00,1.80,1.40,71.96, R$7.29 , R$21.25 ,10.1%,34%," R$185,951,000 "," R$66,042,000 "," R$37,633,000 "," R$28,409,000 ",0.36,0.23, Baixo Endividamento ,"-R$14,848,128 "," R$37,179,596 "," R$46,376,036 "," R$55,414,679 "," R$16,990,508 "," R$123,868,439 ",-253%," R$89,168,557 ",12%,70%,49%,21%,24%,0.61,30/06/2022," R$8,538,784 "," 291,098 ", Liquidez Alta 
16.00, ItauUnibanco , ON , ITUB3 ," R$265,463,941 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,9.20,10.9%,-,1.60,-,24.64, R$0.80 , R$2.68 ,3.2%,30%," R$150,639,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$151,452,000 ",-,N/D,19%,,1%,0.84,30/06/2022," R$68,652 "," 5,832 ", Liquidez Alta 
17.00, ItauUnibanco , PN , ITUB4 ," R$265,463,941 ",6.5%,6.2%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,11.10,9.0%,-,1.90,-,29.59, R$0.80 , R$2.68 ,2.7%,30%," R$150,639,000 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$151,452,000 ",-,N/D,19%,,1%,0.98,30/06/2022," R$4,152,535 "," 205,683 ", Liquidez Alta 
18.00, Ambev S/A , ON , ABEV3 ," R$234,550,049 ",3.1%,2.9%, Dividendos , Tradicional , Consumo não cíclico , Bebidas , Cervejas e refrigerantes ,17.30,5.8%,9.70,2.70,3.00,14.90, R$0.60 , R$0.86 ,4.1%,70%," R$86,263,126 "," R$3,196,042 "," R$14,129,259 ","-R$10,933,217 ",0.04,-0.54, Empresa com Mais Caixa que Dívida ," R$21,856,212 "," R$20,612,380 "," R$20,035,781 "," R$21,013,511 "," R$20,727,800 "," R$22,920,432 ",1%," R$20,945,606 ",33%,123%,18%,13%,10%,0.67,30/06/2022," R$1,169,979 "," 98,211 ", Liquidez Alta 
19.00, Bradesco , ON , BBDC3 ," R$194,806,051 ",1.2%,1.1%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,7.40,13.5%,-,1.20,-,16.58, R$0.57 , R$2.24 ,3.5%,26%," R$152,703,805 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$33,965,199 ",-,N/D,16%,,1%,1.10,30/06/2022," R$531,376 "," 56,740 ", Liquidez Alta 
20.00, Bradesco , PN , BBDC4 ," R$194,806,051 ",4.8%,4.6%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,8.90,11.2%,-,1.40,-,19.98, R$0.63 , R$2.24 ,3.2%,28%," R$152,703,805 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$33,965,199 ",-,N/D,16%,,1%,1.13,30/06/2022," R$2,517,546 "," 164,629 ", Liquidez Alta 
21.00, Weg , ON , WEGE3 ," R$145,013,076 ",2.3%,2.2%, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Motores compressores e outros ,40.90,2.4%,30.50,10.80,5.40,34.56, R$0.49 , R$0.84 ,1.4%,58%," R$13,413,944 "," R$2,853,828 "," R$2,570,284 "," R$283,544 ",0.21,-0.05, Baixo Endividamento ," R$1,477,603 "," R$1,406,931 "," R$1,466,287 "," R$1,824,054 "," R$2,244,517 "," R$4,758,552 ",26%," R$472,745 ",203%,178%,29%,18%,14%,0.58,30/06/2022," R$990,594 "," 103,241 ", Liquidez Alta 
