IBOV - Carteira do Dia 22/06/22
Setor;Cádigo;Aááo;Tipo;Qtde. Teárica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;2,059;2,059;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.588.205;0,470;0,470;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.741.172;0,243;2,333;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.693.556;0,766;2,333;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,117;2,333;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;167.095.214;0,091;2,333;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,116;2,333;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0,026;0,026;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,736;3,449;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;2,290;3,449;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;348.234.011;0,241;3,449;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,182;3,449;
Cons N Cáclico / Bebidas;ABEV3;AMBEV S/A;ON;4.380.195.841;3,161;3,161;
Cons N Cáclico / Comárcio Distr.;ASAI3;ASSAI;ON      NM;794.531.367;0,671;1,180;
Cons N Cáclico / Comárcio Distr.;CRFB3;CARREFOUR BR;ON  EJ  NM;410.988.561;0,366;1,180;
Cons N Cáclico / Comárcio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,143;1,180;
Cons N Cáclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,633;0,633;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.270.946;0,275;0,275;
Consumo Cáclico / Comárcio;AMER3;AMERICANAS;ON      NM;596.875.824;0,437;2,728;
Consumo Cáclico / Comárcio;SOMA3;GRUPO SOMA;ON      NM;489.316.435;0,266;2,728;
Consumo Cáclico / Comárcio;LREN3;LOJAS RENNER;ON      NM;977.821.540;1,238;2,728;
